"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"buy_sell_price";"gross_profitability"
"Alquiler de Piso en calle Santiago Ramón y Cajal, 70";"Ciudad Jardín";990;1;2;1;"Intermedios";3;114;"Segunda mano/buen estado";1;1;0;1;0;1;"ciudad jardin";NA;170581;6.96443331906836
"Alquiler de Piso en plaza Castellini";"Casco Antiguo";850;1;1;0;"Intermedios";1;60;"Segunda mano/buen estado";0;0;1;0;1;1;"casco antiguo";NA;93111;10.9546670103425
"Alquiler de Piso en avenida Julietta Orbaiceta, 29";"Playa Honda-Playa Paraíso";597;1;1;0;"Intermedios";2;85;"Segunda mano/buen estado";1;1;0;1;1;1;"playa honda-playa paraiso";NA;114272;6.26925231027723
"Alquiler de Piso en plaza Doctor Vicente García Marcos";"Casco Antiguo";850;1;2;0;"Intermedios";2;102;"Segunda mano/buen estado";1;1;0;1;1;0;"casco antiguo";NA;166173;6.13818129298984
"Alquiler de Casa o chalet en Hornillo";"Águilas";600;0;1;0;"Primero";3;97;"Segunda mano/buen estado";1;0;0;0;0;0;"hornillo";NA;104900;6.86367969494757
"Alquiler de Piso en calle Doctor Carlos Ferrandiz";"Mazarrón";500;1;1;0;"Primero";2;60;"Segunda mano/buen estado";0;1;0;0;0;1;"mazarron";"Mazarrón";96258;6.23324814560868
"Alquiler de Ático en Espinardo";"espinardo";790;1;2;1;"Intermedios";2;160;"Segunda mano/buen estado";1;1;0;1;1;1;"espinardo";NA;199862;4.74327285827221
"Alquiler de Piso en puerta Nueva, 3";"San Lorenzo";800;1;1;0;"Ultimos_pisos";1;85;"Segunda mano/buen estado";1;1;1;1;0;1;"san lorenzo";NA;184201;5.21169809067269
"Alquiler de Casa o chalet independiente en calle Oropéndola";"Pozo Estrecho";530;0;3;0;"Primero";4;195;"Segunda mano/buen estado";0;0;0;1;0;1;"pozo estrecho";NA;232725;2.73283918788269
"Alquiler de Casa o chalet independiente en La Albatalía";"la albatalía";850;0;2;0;"Muchas_plantas";2;94;"Segunda mano/buen estado";0;1;0;0;1;0;"la albatalia";NA;175267;5.8196922409809
"Alquiler de Piso en calle Rafael Menarguez Florenciano, 21";"Alcantarilla";575;1;2;1;"Intermedios";3;80;"Segunda mano/buen estado";1;1;0;1;0;0;"alcantarilla";"Alcantarilla";145055;4.7568163799938
"Alquiler de Piso en Torrealta-Ribera de Molina";"Molina de Segura";625;1;1;1;"Intermedios";2;114;"Segunda mano/buen estado";0;1;0;1;0;1;"torrealta-ribera de molina";NA;88683;8.45708873177497
"Alquiler de Piso en francisco noguera, 20";"Beniaján";840;1;2;0;"Intermedios";3;154;"Segunda mano/buen estado";1;0;1;1;1;1;"beniajan";NA;198896;5.06797522323224
"Alquiler de Piso en Torrealta-Ribera de Molina";"Molina de Segura";680;1;3;1;"Primero";3;117;"Segunda mano/buen estado";1;0;0;1;0;0;"torrealta-ribera de molina";NA;212546;3.83916893284277
"Alquiler de Piso en San Juan";"san juan";650;0;1;0;"Primero";3;80;"Segunda mano/buen estado";0;0;0;0;1;1;"san juan";NA;99258;7.85830865018437
"Alquiler de Piso en plaza Cronista Carlos Valcárcel";"Beniaján";700;1;2;1;"Intermedios";3;110;"Segunda mano/buen estado";0;0;0;1;0;1;"beniajan";NA;129569;6.48303220677786
"Alquiler de Piso en alameda de los Tristes";"alameda";750;1;2;1;"Primero";4;114;"Segunda mano/buen estado";1;0;0;1;0;0;"alameda";NA;156358;5.75602143798207
"Alquiler de Piso en calle Tahona";"Casco Antiguo";650;1;1;0;"Primero";3;62;"Segunda mano/buen estado";0;0;0;0;0;1;"casco antiguo";NA;82717;9.42974237460256
"Alquiler de Casa o chalet independiente en La Alcayna";"Romeral";1000;0;2;0;"Muchas_plantas";4;153;"Segunda mano/buen estado";0;1;0;0;0;0;"la alcayna";NA;190223;6.30838542132129
"Alquiler de Chalet pareado en El Puntal";"el puntal";700;0;2;1;"Primero";2;81;"Segunda mano/buen estado";1;1;0;0;1;0;"el puntal";NA;180710;4.64833158098611
"Alquiler de Piso en calle San Juan, 3";"Centro";600;1;2;1;"Intermedios";3;120;"Segunda mano/buen estado";1;1;0;1;0;0;"centro";NA;161195;4.46663978411241
"Alquiler de Piso en Infante Juan Manuel";"infante juan manuel";990;1;2;0;"Ultimos_pisos";4;134;"Segunda mano/buen estado";1;1;0;0;1;1;"infante juan manuel";NA;280651;4.23301538209378
"Alquiler de Piso en calle Matadero";"Santa Lucía";750;1;2;1;"Intermedios";3;100;"Segunda mano/buen estado";1;0;1;1;1;1;"santa lucia";NA;175586;5.1256933924117
"Alquiler de Piso en Playa del Galán";"del";425;0;1;0;"Bajo";2;45;"Segunda mano/buen estado";1;1;0;1;1;1;"playa del galan";NA;83989;6.07222374358547
"Alquiler de Piso en calle Carrara";"El Plan-Polígono de Santa Ana";800;1;2;0;"Intermedios";3;100;"Segunda mano/buen estado";1;0;1;1;1;1;"el plan-poligono de santa ana";NA;177107;5.42045204311518
"Alquiler de Piso en calle Mariano Ruiz Funes, 8";"Vista Alegre";1000;1;2;0;"Intermedios";4;125;"Segunda mano/buen estado";1;0;1;0;0;0;"vista alegre";NA;180580;6.64525418097242
"Alquiler de Piso en Gran Vía de la Manga, 14";"Playa del Galán";800;1;1;0;"Ultimos_pisos";2;60;"Segunda mano/buen estado";1;0;0;0;0;1;"playa del galan";NA;161394;5.948176512138
"Alquiler de Piso en Playa del Esparto-Veneziola";"del";800;1;1;0;"Bajo";2;85;"Segunda mano/buen estado";1;1;0;1;1;1;"playa del esparto-veneziola";NA;103442;9.28056302082326
"Alquiler de Piso en calle Alicante, 2";"Los Barreros-Cuatro Santos";790;1;2;0;"Intermedios";3;89;"Segunda mano/buen estado";1;0;0;1;1;1;"los barreros-cuatro santos";NA;158386;5.98537749548571
"Alquiler de Piso en calle Rey Carlos III";"Centro";750;1;2;0;"Intermedios";3;90;"Segunda mano/buen estado";1;1;0;0;1;1;"centro";NA;190920;4.71401634192332
"Alquiler de Piso en calle Mayor, 38";"La Ñora";750;1;2;0;"Primero";2;80;"Segunda mano/buen estado";1;1;1;0;0;1;"la nora";NA;198638;4.53085512339029
"Alquiler de Dúplex en via Gran, 11";"Playa de las Gaviotas-El Pedrucho";800;1;2;0;"Intermedios";2;105;"Segunda mano/buen estado";1;1;0;1;1;0;"playa de las gaviotas-el pedrucho";NA;167384;5.73531520336472
"Alquiler de Piso en Torrealta-Ribera de Molina";"Molina de Segura";705;1;2;1;"Intermedios";4;142;"Segunda mano/buen estado";1;0;0;1;0;0;"torrealta-ribera de molina";NA;155724;5.43268860291285
"Alquiler de Piso en calle Juan Fernandez";"Ciudad Jardín";650;1;1;0;"Intermedios";3;96;"Segunda mano/buen estado";0;0;1;0;1;1;"ciudad jardin";NA;111377;7.00324124370382
"Alquiler de Piso en calle Juan Antonio Hernández del Águila";"El Carmen";975;1;2;0;"Intermedios";3;120;"Segunda mano/buen estado";1;0;1;0;1;1;"el carmen";NA;201089;5.81831925167463
"Alquiler de Piso en calle Madre de Dios";"Catedral";1100;1;2;0;"Intermedios";3;135;"Segunda mano/buen estado";1;0;1;0;1;1;"catedral";NA;207142;6.37244016182136
"Alquiler de Piso en calle turroneros 5, 5";"San Andrés-San Antolín";595;1;1;0;"Intermedios";1;75;"Segunda mano/buen estado";1;0;0;0;1;1;"san andres-san antolin";NA;108061;6.60737916547135
"Alquiler de Piso en calle Rio Taibilla, 12";"Juan de Borbón";800;1;2;0;"Intermedios";2;76;"Segunda mano/buen estado";1;0;0;1;1;1;"juan de borbon";NA;151270;6.34626826204799
"Alquiler de Chalet adosado en calle Valladolid";"Lo Pagán";700;0;2;0;"Muchas_plantas";2;63;"Segunda mano/buen estado";0;1;1;0;0;1;"lo pagan";NA;176257;4.76576816807276
"Alquiler de Piso en calle Iberia";"Las Lomas-Las Yucas";550;1;2;0;"Primero";2;95;"Segunda mano/buen estado";1;1;1;1;1;1;"las lomas-las yucas";NA;201370;3.27754879078314
"Alquiler de Piso en calle Marcos Redondo";"Casco Antiguo";1200;1;3;0;"Intermedios";5;140;"Segunda mano/buen estado";1;0;0;1;1;0;"casco antiguo";NA;227747;6.32280556933791
"Alquiler de Dúplex en calle Barcelona";"Centro";900;0;2;0;"Primero";3;140;"Segunda mano/buen estado";1;1;0;0;1;1;"centro";NA;219714;4.91548103443568
"Alquiler de Piso en avenida Juan Carlos I";"Centro";1500;1;2;0;"Ultimos_pisos";3;109;"Segunda mano/buen estado";1;0;1;0;0;1;"centro";NA;254167;7.08195792530108
"Alquiler de Piso en puerta de Orihuela, 8";"San Juan";850;1;2;0;"Intermedios";3;126;"Segunda mano/buen estado";0;1;1;1;1;1;"san juan";NA;180637;5.64668368053057
"Alquiler de Piso en Urbanización Cabo Romano, 5";"Playa del Galán";800;1;2;0;"Ultimos_pisos";2;120;"Segunda mano/buen estado";1;1;1;0;1;0;"playa del galan";NA;273738;3.5070030467089
"Alquiler de Piso en calle Nueva de San Antón";"San Antón";1400;1;2;0;"Intermedios";4;145;"Segunda mano/buen estado";1;0;0;0;0;1;"san anton";NA;186174;9.02381642979149
"Alquiler de Piso en avenida Reina Victoria Eugenia";"Alameda";800;1;2;0;"Ultimos_pisos";4;115;"Segunda mano/buen estado";0;0;0;0;1;0;"alameda";NA;221780;4.32861394174407
