"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"buy_sell_price";"gross_profitability"
"Alquiler de Piso en Zona Juan de Borbón";"juan de borbón";750;1;1;1;"Bajo";1;60;"Segunda mano/buen estado";0;0;0;0;1;1;"juan de borbon";NA;66477;13.5385170810957
"Alquiler de Piso en calle de la Olma";"San Andrés-San Antolín";975;0;2;0;"Otro";3;110;"Segunda mano/buen estado";0;0;0;0;0;0;"san andres-san antolin";NA;136438;8.57532359020214
"Alquiler de Piso en plaza Profesor Tierno Galván";"El Ranero-San Basilio";1000;1;1;0;"Intermedios";4;120;"Segunda mano/buen estado";1;1;1;0;1;1;"el ranero-san basilio";NA;162329;7.39239445816829
"Alquiler de Piso en calle Jorge Juan, 18";"Ciudad Jardín";800;1;1;0;"Ultimos_pisos";3;88;"Segunda mano/buen estado";1;0;1;0;1;1;"ciudad jardin";NA;201436;4.76578168748387
"Alquiler de Piso en avenida Julietta Orbaiceta, 19";"Playa Honda-Playa Paraíso";450;1;1;0;"Bajo";1;60;"Segunda mano/buen estado";1;1;0;1;0;1;"playa honda-playa paraiso";NA;78894;6.84462696783025
"Alquiler de Estudio en Las Salinas, 48";"Playa Honda-Playa Paraíso";800;0;1;0;"Intermedios";0;40;"Segunda mano/buen estado";0;1;0;0;1;0;"playa honda-playa paraiso";NA;69988;13.7166371377951
"Alquiler de Piso en calle Campoamor";"Lo Pagán";600;1;1;0;"Intermedios";2;70;"Segunda mano/buen estado";1;0;0;1;0;0;"lo pagan";NA;67604;10.65025738122
"Alquiler de Casa o chalet en Centro";"Águilas";600;0;2;0;"Primero";3;80;"Segunda mano/buen estado";0;0;0;0;0;0;"centro";NA;131709;5.46659681570736
"Alquiler de Piso en calle Angel Bruna, 15";"Peral-La Vereda";600;0;2;0;"Primero";2;90;"Segunda mano/buen estado";0;0;1;0;1;1;"peral-la vereda";NA;172554;4.17260683612087
"Alquiler de Piso en Pedro López Meca, 50";"Bolnuevo";400;0;1;0;"Intermedios";2;58;"Segunda mano/buen estado";1;1;1;1;0;1;"bolnuevo";NA;101757;4.71712019811905
"Alquiler de Casa o chalet independiente en Bahía";"Puerto de Mazarrón";999;0;2;0;"Primero";3;110;"Segunda mano/buen estado";0;0;1;0;1;1;"bahia";NA;182494;6.56898308985501
"Alquiler de Piso en Guadalupe";"guadalupe";700;1;2;0;"Intermedios";3;122;"Segunda mano/buen estado";0;0;0;0;1;1;"guadalupe";NA;164434;5.10843256260871
"Alquiler de Piso en Zona Juan Carlos I";"juan carlos i";850;1;2;1;"Intermedios";2;100;"Segunda mano/buen estado";1;1;1;1;1;1;"juan carlos i";NA;189935;5.37025824624214
"Alquiler de Piso en ronda Norte";"San Antón";1050;0;2;0;"Otro";4;115;"Segunda mano/buen estado";0;0;0;0;0;0;"san anton";NA;140326;8.97909154397617
"Alquiler de Piso en plaza triangular, 2";"Santa María de Gracia";950;1;1;0;"Intermedios";4;130;"Segunda mano/buen estado";1;0;0;0;0;1;"santa maria de gracia";NA;123273;9.24776715095763
"Alquiler de Piso en calle Andrés Baquero";"San Lorenzo";1400;1;3;0;"Primero";4;150;"Segunda mano/buen estado";1;0;1;0;0;0;"san lorenzo";NA;259447;6.4753109498279
"Alquiler de Piso en Infante Juan Manuel";"infante juan manuel";900;1;2;1;"Primero";4;120;"Segunda mano/buen estado";1;1;0;1;0;1;"infante juan manuel";NA;186804;5.78146078242436
"Alquiler de Piso en Santa Catalina-San Bartolomé";"santa catalina-san bartolomé";750;0;1;0;"Primero";3;85;"Segunda mano/buen estado";0;0;0;0;1;0;"santa catalina-san bartolome";NA;89469;10.0593501659793
"Alquiler de Piso en Sangonera la Seca";"sangonera la seca";710;1;2;0;"Primero";3;160;"Segunda mano/buen estado";1;1;1;1;0;0;"sangonera la seca";NA;205071;4.15465863042556
"Alquiler de Dúplex en Sangonera la Seca";"sangonera la seca";710;1;2;0;"Intermedios";3;125;"Segunda mano/buen estado";1;1;0;1;0;0;"sangonera la seca";NA;164734;5.17197421297364
"Alquiler de Piso en Cabo de Palos";"cabo de palos";750;0;2;0;"Bajo";2;95;"Segunda mano/buen estado";1;1;0;1;1;1;"cabo de palos";NA;161013;5.58961077676958
"Alquiler de Piso en Centro";"Águilas";650;1;1;0;"Otro";2;80;"Segunda mano/buen estado";0;0;0;0;0;0;"centro";NA;68927;11.316320164812
"Alquiler de Chalet adosado en Zona Galúa-Calnegre";"del";1500;0;2;0;"Primero";4;100;"Segunda mano/buen estado";1;1;0;0;1;0;"zona galua-calnegre";NA;193638;9.29569609270908
"Alquiler de Piso en Santa María de Gracia";"santa maría de gracia";1220;1;2;0;"Intermedios";4;117;"Segunda mano/buen estado";1;0;1;0;1;0;"santa maria de gracia";NA;189942;7.70761600909751
"Alquiler de Piso en calle Maestro Javier Paulino Torres";"La Fama";800;1;1;0;"Ultimos_pisos";3;92;"Segunda mano/buen estado";0;0;0;0;0;0;"la fama";NA;141191;6.79930023868377
"Alquiler de Piso en C. Enrique Villar, 13";"San Lorenzo";600;1;1;0;"Intermedios";1;40;"Segunda mano/buen estado";1;0;0;0;0;1;"san lorenzo";NA;81347;8.85097176294147
"Alquiler de Piso en Vistabella";"vistabella";1000;0;2;0;"Primero";3;90;"Segunda mano/buen estado";1;1;0;0;1;1;"vistabella";NA;199539;6.0138619517989
"Alquiler de Estudio en calle Conde de Roche, 2";"Santa Catalina-San Bartolomé";595;1;1;0;"Bajo";0;50;"Segunda mano/buen estado";1;0;0;0;1;1;"santa catalina-san bartolome";NA;85273;8.37310754869654
"Alquiler de Piso en ronda Norte, 25";"San Antón";1100;1;2;0;"Primero";4;125;"Segunda mano/buen estado";1;1;1;0;0;0;"san anton";NA;208730;6.32395918171801
"Alquiler de Estudio en calle Ángeles";"La Ñora";580;1;1;0;"Intermedios";0;39;"Segunda mano/buen estado";0;0;0;0;1;1;"la nora";NA;68485;10.1628093743155
"Alquiler de Piso en paseo Maritimo Don Francisco Martinez Muñoz";"Puerto";1350;1;1;0;"Otro";3;95;"Segunda mano/buen estado";0;1;0;0;0;0;"puerto";NA;93068;17.4066274122147
"Alquiler de Finca rústica en diseminado vasa galindos";"Jerónimo y Avileses";650;0;1;0;"Otro";2;80;"Segunda mano/buen estado";0;0;0;1;0;0;"jeronimo y avileses";NA;49703;15.6932177132165
"Alquiler de Piso en El Plan-Polígono de Santa Ana";"el plan";775;1;2;0;"Intermedios";3;100;"Segunda mano/buen estado";1;0;1;1;1;1;"el plan-poligono de santa ana";NA;177107;5.25106291676783
"Alquiler de Piso en La Concepción";"la concepción";625;0;1;0;"Primero";1;50;"Segunda mano/buen estado";0;1;1;0;1;1;"la concepcion";NA;113914;6.58391418087329
"Alquiler de Piso en Playa Grande-Castellar";"Puerto de Mazarrón";900;1;1;0;"Intermedios";3;75;"Segunda mano/buen estado";1;0;1;1;0;0;"playa grande-castellar";NA;85775;12.5910813174002
"Alquiler de Piso en Pl. Beato Andrés Hibernón, 1";"San Lorenzo";600;1;1;0;"Intermedios";1;40;"Segunda mano/buen estado";1;0;0;0;0;1;"san lorenzo";NA;81347;8.85097176294147
"Alquiler de Piso en calle Pintor Joaquín";"San Antón";900;1;1;0;"Primero";3;75;"Segunda mano/buen estado";0;1;0;0;0;1;"san anton";NA;104181;10.3665735594782
"Alquiler de Piso en calle Jiménez de la Espada, 30203 Cartagena (Murcia), España";"Alameda";850;1;2;0;"Ultimos_pisos";2;115;"Segunda mano/buen estado";1;0;1;0;0;0;"alameda";"Region from Substring Match";242911;4.19906879474375
"Alquiler de Piso en calle la Marina";"Los Dolores-Los Gabatos";700;0;2;0;"Intermedios";4;110;"Segunda mano/buen estado";0;0;0;0;1;0;"los dolores-los gabatos";NA;146343;5.73993973063283
"Alquiler de Chalet pareado en Diseminado Casa Galindos";"Jerónimo y Avileses";700;0;1;0;"Primero";2;70;"Segunda mano/buen estado";0;1;0;0;0;0;"jeronimo y avileses";NA;85174;9.86216451029657
"Alquiler de Estudio en calle Mayor";"Casco Antiguo";700;1;1;0;"Intermedios";0;50;"Segunda mano/buen estado";0;0;0;0;1;1;"casco antiguo";NA;72923;11.5189994926155
"Alquiler de Piso en avenida de los Jerónimos s/n";"Guadalupe";1500;0;2;0;"Intermedios";5;120;"Segunda mano/buen estado";0;1;0;0;0;0;"guadalupe";NA;155876;11.5476404321384
"Alquiler de Piso en reina victoria";"Ensanche";650;1;1;0;"Intermedios";2;68;"Segunda mano/buen estado";1;0;0;1;0;1;"ensanche";NA;78604;9.923159126762
"Alquiler de Piso en carlos iii";"Casco Antiguo";1000;1;2;0;"Ultimos_pisos";4;120;"Segunda mano/buen estado";1;0;0;0;0;0;"casco antiguo";NA;234386;5.11975971261082
"Alquiler de Piso en El Puntal";"el puntal";1020;0;1;0;"Bajo";3;110;"Segunda mano/buen estado";1;1;1;0;1;0;"el puntal";NA;130475;9.38110749185668
"Alquiler de Piso en Bahía";"Puerto de Mazarrón";1500;0;1;0;"Otro";2;72;"Segunda mano/buen estado";0;0;0;0;0;0;"bahia";NA;62387;28.8521647138026
"Alquiler de Piso en calle Santa Florentina";"Casco Antiguo";1000;1;2;0;"Primero";3;120;"Segunda mano/buen estado";1;0;0;0;0;0;"casco antiguo";NA;174341;6.88306250394342
"Alquiler de Piso en Vista Alegre";"vista alegre";1200;0;2;0;"Intermedios";4;120;"Segunda mano/buen estado";0;0;1;0;1;0;"vista alegre";NA;164661;8.74524022081732
"Alquiler de Piso en calle de Pablo Iglesias";"La Ñora";750;0;1;0;"Bajo";3;100;"Segunda mano/buen estado";0;1;0;0;1;1;"la nora";NA;100784;8.92998888712494
"Alquiler de Piso en San Pedro";"san pedro";1100;0;2;0;"Intermedios";4;95;"Segunda mano/buen estado";0;0;1;0;1;0;"san pedro";NA;154573;8.53965440277409
"Alquiler de Piso en avenida de la Fama";"Vistabella";850;1;1;0;"Ultimos_pisos";3;92;"Segunda mano/buen estado";1;0;0;0;1;0;"vistabella";NA;176961;5.7639818943157
"Alquiler de Piso en Gran Vía de la Manga, 1 b";"Playa de las Gaviotas-El Pedrucho";600;1;2;0;"Intermedios";2;80;"Segunda mano/buen estado";1;1;0;0;1;1;"playa de las gaviotas-el pedrucho";NA;185015;3.89157635867362
"Alquiler de Piso en avenida de la Fama";"La Paz";1100;0;2;0;"Intermedios";4;113;"Segunda mano/para reformar";0;0;0;0;0;0;"la paz";NA;110289;11.9685553409678
"Alquiler de Piso en Lucios, 8";"Puente Tocinos";650;1;2;1;"Primero";3;105;"Segunda mano/buen estado";1;0;1;1;0;1;"puente tocinos";NA;176945;4.40814942496256
"Alquiler de Piso en ronda Del Golf, 51";"Corvera";750;1;2;0;"Bajo";2;78;"Segunda mano/buen estado";1;1;0;1;1;1;"corvera";NA;157465;5.71555583780523
"Alquiler de Casa o chalet independiente en paraje leon";"Corvera";1300;0;2;0;"Muchas_plantas";3;160;"Segunda mano/buen estado";0;0;0;1;0;1;"corvera";NA;170854;9.13060273683964
"Alquiler de Piso en La Purísima-Barriomar";"la purísima-barriomar";480;1;1;0;"Primero";1;60;"Segunda mano/buen estado";1;0;1;0;1;1;"la purisima-barriomar";NA;128222;4.49220882531859
"Alquiler de Estudio en calle Malecón, 1";"El Mojón-Las Salinas";400;0;1;0;"Bajo";0;30;"Segunda mano/buen estado";0;1;0;0;0;1;"el mojon-las salinas";NA;54338;8.83359711435827
"Alquiler de Chalet pareado en calle Bomilcar, 30";"Playa Honda-Playa Paraíso";800;0;1;0;"Primero";2;90;"Segunda mano/buen estado";1;1;0;0;1;1;"playa honda-playa paraiso";NA;140821;6.81716505350764
"Alquiler de Piso en calle Torre de Romo, 86";"Infante Juan Manuel";900;1;2;0;"Intermedios";3;100;"Segunda mano/buen estado";1;0;1;1;1;0;"infante juan manuel";NA;165301;6.53353579228196
"Alquiler de Dúplex en ronda Del Golf, 6";"Corvera";700;1;2;0;"Intermedios";2;75;"Segunda mano/buen estado";1;1;1;1;1;1;"corvera";NA;181368;4.63146751356358
"Alquiler de Piso en Antonio Segado del Olmo, 12";"San Nicolás";1000;1;2;0;"Primero";4;120;"Segunda mano/buen estado";1;1;0;0;0;0;"san nicolas";NA;192430;6.23603388245076
"Alquiler de Piso en calle Floridablanca";"Centro-Corredera";1000;1;3;0;"Intermedios";5;200;"Segunda mano/buen estado";0;1;1;0;1;0;"blanca";"Blanca";275190;4.36062356917039
"Alquiler de Piso en avenida Ciudad de Almería";"La Purísima-Barriomar";490;1;1;0;"Primero";1;58;"Segunda mano/buen estado";1;0;1;0;0;1;"la purisima-barriomar";NA;114825;5.1208360548661
"Alquiler de Ático en calle Tejeras, 14";"Garres y Lages";620;1;1;1;"Intermedios";2;80;"Segunda mano/buen estado";1;1;1;1;0;1;"garres y lages";NA;112426;6.61768630032199
"Alquiler de Estudio en San Nicolás";"san nicolás";450;1;1;0;"Primero";0;30;"Segunda mano/buen estado";0;0;0;0;1;1;"san nicolas";NA;76785;7.03262355928892
"Alquiler de Piso en calle Joaquín Báguena, 8";"Santa Eulalia";590;0;1;0;"Ultimos_pisos";2;80;"Segunda mano/buen estado";0;0;0;0;0;0;"santa eulalia";NA;131166;5.39774026805727
"Alquiler de Piso en calle Aguilar Amat";"Santiago de la Ribera";500;0;2;0;"Intermedios";3;120;"Segunda mano/buen estado";1;1;0;1;0;1;"santiago de la ribera";NA;171210;3.50446819695111
"Alquiler de Piso en plaza Concepción Alemán";"Espinardo";600;1;1;1;"Intermedios";1;50;"Segunda mano/buen estado";1;0;1;0;1;1;"espinardo";NA;110735;6.50200930148553
"Alquiler de Piso en Pintor Pedro Orrente, 4";"Vista Alegre";900;0;1;0;"Intermedios";4;60;"Segunda mano/buen estado";0;0;1;0;0;0;"vista alegre";NA;71012;15.2086971216132
"Alquiler de Piso en calle Santa Ana, 15";"Puerto";500;1;1;0;"Otro";2;65;"Segunda mano/buen estado";0;0;0;1;1;1;"puerto";NA;71360;8.40807174887892
"Alquiler de Piso en calle Desamparados";"San Pedro";750;0;1;0;"Intermedios";2;75;"Segunda mano/buen estado";0;0;0;0;1;1;"san pedro";NA;83439;10.7863229425089
"Alquiler de Piso en calle Cisne, 12";"El Ranero-San Basilio";480;1;1;0;"Primero";2;40;"Segunda mano/buen estado";1;1;1;1;0;1;"el ranero-san basilio";NA;109738;5.24886547959686
"Alquiler de Casa o chalet en Calle Cabo de Irta";"Santiago de la Ribera";595;0;2;0;"Muchas_plantas";3;110;"Segunda mano/buen estado";1;0;0;0;1;1;"santiago de la ribera";NA;202361;3.52834785358839
"Alquiler de Piso en calle Arquitecto Emilio Perez Piñero, 19";"Vista Alegre";1200;1;2;0;"Ultimos_pisos";4;140;"Segunda mano/buen estado";0;1;1;0;1;1;"vista alegre";NA;274175;5.25211999635269
"Alquiler de Estudio en avenida Doctor Meca, 71";"Bahía";500;1;1;0;"Primero";0;90;"Segunda mano/buen estado";1;1;1;0;1;1;"bahia";NA;154676;3.87907626263932
"Alquiler de Piso en calle Antonio Machado, 7";"Santa María de Gracia";800;1;1;0;"Ultimos_pisos";2;85;"Segunda mano/buen estado";1;1;0;1;0;1;"santa maria de gracia";NA;171788;5.58828323282185
"Alquiler de Piso en plaza De Las Palmeras, 6";"San Juan";900;0;1;0;"Intermedios";3;110;"Segunda mano/buen estado";0;0;0;0;0;1;"san juan";NA;86841;12.4365219193699
"Alquiler de Dúplex en calle Depósito de Agua, 20";"Cabo de Palos";1000;0;2;0;"Bajo";3;120;"Segunda mano/buen estado";1;1;1;1;1;1;"cabo de palos";NA;187253;6.40844205433291
"Alquiler de Piso en calle Mayor, 107";"La Ñora";1050;1;2;0;"Intermedios";3;100;"Segunda mano/buen estado";1;0;0;0;0;1;"la nora";NA;166146;7.58369145209635
"Alquiler de Piso en Guadalupe";"guadalupe";600;0;1;0;"Primero";1;38;"Segunda mano/buen estado";0;0;0;0;1;0;"guadalupe";NA;66764;10.7842549877179
"Alquiler de Piso en ronda de Ferrol, 10 D";"Ensanche";650;1;1;0;"Bajo";2;73;"Segunda mano/buen estado";1;0;0;0;0;0;"ensanche";NA;73896;10.5553751217928
"Alquiler de Piso en calle Ua1 Peri";"Juan Carlos I";750;1;1;0;"Intermedios";1;60;"Segunda mano/buen estado";1;1;1;1;1;1;"juan carlos i";NA;116597;7.71889499729839
"Alquiler de Piso en Vista Alegre";"vista alegre";550;0;1;0;"Bajo";1;50;"Segunda mano/buen estado";1;0;0;0;0;1;"vista alegre";NA;71240;9.26445816956766
"Alquiler de Piso en El Carmen";"el carmen";950;1;2;0;"Ultimos_pisos";4;109;"Segunda mano/buen estado";0;0;0;0;1;1;"el carmen";NA;231165;4.93154240477581
"Alquiler de Piso en plaza Amores, 1";"Santa Eulalia";1200;1;1;1;"Intermedios";4;110;"Segunda mano/buen estado";1;0;1;0;0;1;"santa eulalia";NA;127965;11.2530770132458
"Alquiler de Piso en avenida Mar de Cristal, 40";"Bahía";700;0;1;0;"Intermedios";3;63;"Segunda mano/buen estado";1;0;1;0;1;1;"bahia";NA;117929;7.12292989849825
"Alquiler de Piso en calle Pío Tejera";"San Nicolás";750;1;1;0;"Intermedios";1;49;"Segunda mano/buen estado";1;0;1;0;1;1;"san nicolas";NA;111852;8.04634695848085
"Alquiler de Piso en calle República Argentina";"El Palmar";700;1;2;1;"Intermedios";3;115;"Segunda mano/buen estado";1;0;1;1;0;1;"el palmar";NA;169049;4.96897349289259
"Alquiler de Piso en plaza de España";"Casco Antiguo";1200;1;2;0;"Primero";3;120;"Segunda mano/buen estado";0;0;0;0;1;1;"casco antiguo";NA;175559;8.20237071297968
"Alquiler de Piso en calle Sebastián Feringán, 3";"San Antón";750;1;2;1;"Intermedios";4;115;"Segunda mano/buen estado";1;1;1;1;0;1;"san anton";NA;187137;4.80931082575867
"Alquiler de Piso en calle Monte de San Roque, 6";"Algezares";550;0;1;0;"Bajo";1;50;"Segunda mano/buen estado";1;1;0;0;1;1;"algezares";NA;100049;6.5967675838839
"Alquiler de Piso en Zona Juan Carlos I";"juan carlos i";1200;1;2;0;"Primero";4;93;"Segunda mano/buen estado";0;0;1;0;1;0;"juan carlos i";NA;169010;8.52020590497604
"Alquiler de Piso en calle San Lorenzo";"San Lorenzo";900;1;2;0;"Intermedios";3;90;"Segunda mano/buen estado";1;0;1;0;1;1;"san lorenzo";NA;188984;5.71476950429666
"Alquiler de Estudio en San Andrés-San Antolín";"san andrés-san antolín";350;1;1;0;"Ultimos_pisos";0;25;"Segunda mano/buen estado";1;0;0;0;0;1;"san andres-san antolin";NA;143532;2.92617674107516
"Alquiler de Piso en calle Escritor Sánchez Moreno";"Santa María de Gracia";1400;0;2;0;"Primero";4;100;"Segunda mano/buen estado";1;0;1;0;1;1;"santa maria de gracia";NA;203509;8.25516316231715
"Alquiler de Piso en calle Francisco Pizarro, 2";"Beniaján";490;1;1;1;"Intermedios";2;80;"Segunda mano/buen estado";0;0;1;0;1;1;"beniajan";NA;101530;5.79139170688466
"Alquiler de Casa o chalet independiente en calle Menéndez Pidal, 3";"Roldán";550;0;1;1;"Primero";3;200;"Segunda mano/buen estado";1;1;0;1;0;0;"roldan";NA;145247;4.54398369673728
"Alquiler de Piso en avenida de los Pinos, 9";"Santa María de Gracia";1100;1;2;1;"Primero";3;120;"Segunda mano/buen estado";1;0;0;0;0;1;"santa maria de gracia";NA;184627;7.14955017413488
"Alquiler de Piso en calle Obispo Frutos, 7";"Santa Eulalia";900;1;1;0;"Intermedios";3;120;"Segunda mano/buen estado";0;0;0;0;0;1;"santa eulalia";NA;94188;11.4664288444388
"Alquiler de Piso en calle Goya, 4";"El Puntal";900;1;2;0;"Otro";3;95;"Segunda mano/buen estado";1;0;0;1;1;1;"el puntal";NA;165363;6.53108615591154
"Alquiler de Piso en calle Reina Doña Violante";"Vista Alegre";750;0;1;0;"Primero";3;90;"Segunda mano/buen estado";1;0;0;0;1;0;"vista alegre";NA;114666;7.84888284234211
"Alquiler de Piso en plaza De Las Palmeras";"San Juan";900;0;1;0;"Intermedios";4;100;"Segunda mano/buen estado";1;0;0;0;0;0;"san juan";NA;96049;11.244260741913
"Alquiler de Piso en San Diego-Los Ángeles-San Cristóbal";"Lorca";700;1;1;0;"Intermedios";3;95;"Segunda mano/buen estado";0;0;1;1;1;0;"san cristobal";NA;83255;10.0894841150682
"Alquiler de Piso en calle Rey Carlos III, 1";"Centro";1400;1;2;0;"Intermedios";3;120;"Segunda mano/buen estado";1;0;1;1;1;1;"centro";NA;185177;9.07240100012421
"Alquiler de Piso en calle Río Aranguin, 7";"Los Narejos-Punta Calera";450;1;1;0;"Intermedios";1;55;"Segunda mano/buen estado";1;1;1;1;1;1;"los narejos-punta calera";NA;114579;4.7129055062446
"Alquiler de Piso en Islas Menores-Mar de Cristal";"islas menores-mar de cristal";600;1;1;1;"Intermedios";2;75;"Segunda mano/buen estado";1;1;1;0;1;1;"islas menores-mar de cristal";NA;138911;5.1831748385657
"Alquiler de Piso en San Juan";"san juan";950;1;2;0;"Intermedios";3;120;"Segunda mano/buen estado";0;0;0;1;0;1;"san juan";NA;135125;8.43663274745606
"Alquiler de Piso en calle Arquitecto Emilio Perez Piñero";"Vista Alegre";1200;0;2;0;"Intermedios";5;130;"Segunda mano/buen estado";0;0;0;0;1;0;"vista alegre";NA;156283;9.21405399179693
"Alquiler de Piso en calle Esmeralda, 7";"Cuatro Plumas-La Cumbre";550;1;1;0;"Intermedios";2;100;"Segunda mano/buen estado";1;1;0;1;1;1;"cuatro plumas-la cumbre";NA;120325;5.48514440058176
"Alquiler de Piso en El Carmen";"el carmen";700;1;2;0;"Intermedios";3;102;"Segunda mano/buen estado";0;0;1;0;1;1;"el carmen";NA;170646;4.9224710804824
"Alquiler de Chalet adosado en Condado de Alhama, 5";"Condado de Alhama";750;0;1;0;"Primero";3;75;"Segunda mano/buen estado";1;1;0;1;1;1;"condado de alhama";NA;120727;7.45483611785268
"Alquiler de Piso en Puerto Lumbreras";"puerto lumbreras";550;1;2;1;"Intermedios";4;116;"Segunda mano/buen estado";0;1;1;1;1;0;"puerto lumbreras";"Puerto Lumbreras";165145;3.99648793484514
"Alquiler de Casa o chalet independiente en calle Escudero, 10";"Los Cuarteros";1100;0;2;1;"Primero";3;140;"Segunda mano/buen estado";1;1;0;1;1;1;"los cuarteros";NA;202282;6.525543548116
"Alquiler de Piso en calle Luis Federico Guirao, 10";"Santiago de la Ribera";800;1;2;0;"Ultimos_pisos";3;90;"Segunda mano/buen estado";1;0;1;0;0;1;"santiago de la ribera";NA;246500;3.89452332657201
"Alquiler de Piso en Jiménez de la espada, 29";"Alameda";1000;1;2;0;"Ultimos_pisos";5;148;"Segunda mano/buen estado";1;1;0;0;0;0;"alameda";NA;263773;4.54936631118424
"Alquiler de Piso en calle gardenias, 4";"Santa María de Gracia";775;1;1;0;"Primero";3;100;"Segunda mano/buen estado";0;1;1;1;0;1;"santa maria de gracia";NA;112639;8.25646534504035
"Alquiler de Piso en calle Iberia, Travesia Manuel de Falla, 619770178";"Centro";900;1;1;0;"Intermedios";2;80;"Segunda mano/buen estado";1;1;0;0;1;0;"centro";NA;116360;9.2815400481265
"Alquiler de Piso en Zona Entremares";"del";800;0;1;1;"Otro";3;70;"Segunda mano/buen estado";1;1;1;1;0;1;"zona entremares";NA;111504;8.6095566078347
"Alquiler de Piso en calle Manuel Wssell de Guimbarda, 47";"Alameda";540;0;1;0;"Intermedios";3;75;"Segunda mano/buen estado";0;0;0;0;0;0;"alameda";NA;60912;10.6382978723404
"Alquiler de Piso en San Miguel";"san miguel";1100;1;2;0;"Intermedios";4;150;"Segunda mano/buen estado";1;0;1;0;0;0;"san miguel";NA;190667;6.92306481981675
"Alquiler de Piso en avenida Virgen de la Huerta, 3";"Los Ramos";550;1;2;1;"Primero";3;90;"Segunda mano/buen estado";1;1;1;1;0;1;"los ramos";NA;187111;3.52731800909621
"Alquiler de Piso en clavel";"Espinardo";550;1;1;0;"Intermedios";1;50;"Segunda mano/buen estado";1;0;0;1;0;1;"espinardo";NA;69471;9.5003670596364
"Alquiler de Piso en plaza José Barnés, 1";"Santa María de Gracia";1000;1;1;0;"Primero";3;95;"Segunda mano/buen estado";1;0;1;0;0;1;"santa maria de gracia";NA;133495;8.9891007153826
"Alquiler de Piso en Alameda";"alameda";700;1;1;0;"Intermedios";2;85;"Segunda mano/buen estado";1;1;0;0;1;0;"alameda";NA;118377;7.09597303530247
"Alquiler de Chalet pareado en calle Castillo de Aledo, 84";"Altorreal-El Chorrico";1395;0;3;1;"Muchas_plantas";3;180;"Segunda mano/buen estado";0;0;0;1;0;0;"altorreal-el chorrico";"Region from Substring Match";222445;7.52545573063004
"Alquiler de Piso en Santa María de Gracia";"santa maría de gracia";1250;1;2;0;"Intermedios";4;114;"Segunda mano/buen estado";0;1;1;0;1;0;"santa maria de gracia";NA;181770;8.25218682950982
"Alquiler de Dúplex en calle Carrasco, 6";"Puerto";550;1;1;0;"Primero";3;90;"Segunda mano/buen estado";1;1;0;0;1;1;"puerto";NA;146003;4.52045505914262
"Alquiler de Chalet adosado en calle Mar Tirreno";"Bahía";999;0;1;0;"Primero";3;190;"Segunda mano/buen estado";0;0;0;1;1;0;"bahia";NA;115925;10.3411688591762
"Alquiler de Dúplex en Cabo de Palos";"cabo de palos";750;0;3;0;"Bajo";4;160;"Segunda mano/buen estado";1;1;1;0;1;0;"cabo de palos";NA;266217;3.38070070656645
"Alquiler de Piso en calle Trafalgar";"Alameda";830;1;2;0;"Intermedios";3;111;"Segunda mano/buen estado";1;0;0;1;1;1;"alameda";NA;167263;5.95469410449412
"Alquiler de Piso en calle Doctor Jesús Quesada Sanz";"San Andrés-San Antolín";750;0;1;0;"Intermedios";3;69;"Segunda mano/buen estado";0;1;0;0;0;1;"san andres-san antolin";NA;86516;10.4027000785982
"Alquiler de Ático en Santiago el Mayor";"santiago el mayor";725;1;1;0;"Intermedios";2;93;"Segunda mano/buen estado";1;1;0;0;0;1;"santiago el mayor";NA;120822;7.20067537369022
"Alquiler de Piso en plaza de Salamanca";"La Fama";980;1;1;0;"Ultimos_pisos";4;77;"Segunda mano/buen estado";0;0;0;0;0;1;"la fama";NA;148815;7.90242919060579
"Alquiler de Piso en calle Torre de la Marquesa";"Santa María de Gracia";800;1;1;0;"Ultimos_pisos";2;95;"Segunda mano/buen estado";0;0;0;0;0;0;"santa maria de gracia";NA;140531;6.83123296639176
"Alquiler de Piso en calle Pérgola";"El Ranero-San Basilio";650;0;1;0;"Intermedios";2;53;"Segunda mano/buen estado";1;0;0;0;0;0;"el ranero-san basilio";NA;73344;10.6348167539267
"Alquiler de Piso en avenida premios príncipe de Asturias";"Roldán";550;1;1;0;"Intermedios";2;70;"Segunda mano/buen estado";1;1;1;1;0;1;"roldan";NA;109912;6.00480384307446
"Alquiler de Piso en calle San Antón, 31";"San Antón";650;1;1;0;"Primero";3;80;"Segunda mano/buen estado";1;1;1;0;1;1;"san anton";NA;156251;4.99196805140447
"Alquiler de Piso en calle Ciclamen";"La Concepción";1100;1;2;1;"Bajo";4;180;"Segunda mano/buen estado";1;0;0;1;1;0;"la concepcion";NA;172818;7.63809325417491
"Alquiler de Piso en calle del Tomillo, 7";"Cabo de Palos";650;1;2;0;"Primero";3;90;"Segunda mano/buen estado";0;1;0;1;0;1;"cabo de palos";NA;151170;5.15975391942846
"Alquiler de Piso en Playa del Esparto-Veneziola";"del";850;1;2;1;"Otro";2;50;"Segunda mano/buen estado";1;1;1;1;0;0;"playa del esparto-veneziola";NA;149918;6.80371936658707
