"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"rent_price";"gross_profitability"
"Piso en venta en calle San Pablo";"San Antonio-San José-Los Ángeles";127700;0;1;0;"Primero";3;108;"Segunda mano/para reformar";0;0;0;0;0;0;"san antonio-san jose-los angeles";NA;735;6.90681284259984
"Piso en venta en avenida del Golf";"Altorreal-El Chorrico";288000;0;2;0;"Bajo";5;330;"Segunda mano/para reformar";0;0;0;0;0;0;"altorreal-el chorrico";NA;1173;4.8875
"Piso en venta en calle Velázquez, 92";"Las Torres de Cotillas";75000;1;1;1;"Bajo";1;46;"Segunda mano/buen estado";0;0;0;1;0;0;"las torres de cotillas";"Las Torres de Cotillas";581;9.296
"Chalet adosado en venta en calle Narciso Yepes";"Las Torres de Cotillas";139000;0;3;0;"Muchas_plantas";4;161;"Segunda mano/buen estado";0;0;0;1;0;0;"las torres de cotillas";"Las Torres de Cotillas";1096;9.46187050359712
"Piso en venta en calle Hermanos Álvarez Quintero";"San Antonio-San José-Los Ángeles";116500;0;1;0;"Intermedios";4;150;"Segunda mano/para reformar";0;0;0;0;0;0;"san antonio-san jose-los angeles";NA;846;8.71416309012876
"Chalet pareado en venta en calle Asone";"Altorreal-El Chorrico";226000;0;3;0;"Muchas_plantas";5;304;"Segunda mano/buen estado";0;0;0;0;0;0;"altorreal-el chorrico";NA;1318;6.99823008849558
"Chalet adosado en venta en los hernández, 2";"Alguazas";86000;0;1;0;"Muchas_plantas";4;125;"Segunda mano/para reformar";1;0;0;0;1;0;"alguazas";"Alguazas";887;12.3767441860465
"Piso en venta en paseo Rosales s/n";"Centro";210000;1;2;0;"Intermedios";5;210;"Segunda mano/buen estado";0;0;0;0;1;0;"centro";NA;1118;6.38857142857143
"Piso en venta en calle San Pablo";"San Antonio-San José-Los Ángeles";127700;0;1;0;"Bajo";4;125;"Segunda mano/para reformar";0;0;0;0;0;0;"san antonio-san jose-los angeles";NA;814;7.64917776037588
"Finca rústica en venta en calle Bailén";"El Castillo-San Roque-El Carmen";92000;0;1;0;"Muchas_plantas";5;270;"Segunda mano/buen estado";0;1;0;1;1;0;"el castillo-san roque-el carmen";NA;1150;15
"Piso en venta en calle San Francisco";"Sagrado Corazón";45500;0;1;0;"Intermedios";3;83;"Segunda mano/buen estado";0;0;0;0;0;0;"sagrado corazon";NA;777;20.4923076923077
"Chalet pareado en venta en calle Francisco Fernández Ordóñez, 1";"Las Torres de Cotillas";198000;0;3;0;"Muchas_plantas";3;159;"Segunda mano/buen estado";0;1;1;0;0;0;"las torres de cotillas";"Las Torres de Cotillas";1064;6.44848484848485
"Piso en venta en calle Hernán Cortés";"Alguazas";73000;0;2;0;"Otro";3;155;"Segunda mano/buen estado";0;0;0;0;0;0;"alguazas";"Alguazas";951;15.6328767123288
"Casa o chalet independiente en venta en calle Cóndor";"Campotéjar-Los Valientes";398999;0;2;1;"Primero";4;121;"Segunda mano/buen estado";0;1;1;1;1;1;"campotejar-los valientes";NA;906;2.72481885919514
"Piso en venta en calle Menéndez Pelayo";"Sagrado Corazón";148000;1;2;0;"Intermedios";3;90;"Segunda mano/buen estado";0;0;0;1;1;0;"sagrado corazon";NA;869;7.04594594594595
"Piso en venta en plaza Cristo Rey";"El Castillo-San Roque-El Carmen";75000;0;2;0;"Primero";3;160;"Segunda mano/para reformar";0;0;0;0;0;0;"el castillo-san roque-el carmen";NA;862;13.792
"Piso en venta en calle Andalucía, 1";"Las Torres de Cotillas";110000;1;1;1;"Bajo";2;90;"Segunda mano/buen estado";1;1;0;0;1;1;"las torres de cotillas";"Las Torres de Cotillas";686;7.48363636363636
"Chalet pareado en venta en calle Montegolf";"Altorreal-El Chorrico";174900;0;2;0;"Primero";2;120;"Segunda mano/buen estado";1;1;0;1;1;1;"altorreal-el chorrico";NA;823;5.64665523156089
"Piso en venta en calle Martín Lutero King, 1";"Fátima-El Panderón";116000;1;1;1;"Intermedios";2;70;"Segunda mano/buen estado";1;0;0;1;1;1;"fatima-el panderon";NA;673;6.96206896551724
"Finca rústica en venta en Barrio del Carmen";"el carmen";105000;0;1;0;"Primero";4;140;"Segunda mano/buen estado";0;1;0;0;1;0;"el carmen";NA;896;10.24
"Piso en venta en carretera de Madrid";"Centro";45000;0;1;0;"Intermedios";3;94;"Segunda mano/buen estado";0;0;0;0;0;0;"centro";NA;790;21.0666666666667
"Piso en venta en calle Tirso de Molina, 17";"Torrealta-Ribera de Molina";106000;1;2;0;"Intermedios";3;90;"Segunda mano/buen estado";1;0;1;0;1;1;"torrealta-ribera de molina";NA;893;10.1094339622642
"Piso en venta en calle Taibilla";"Altorreal-El Chorrico";159000;1;2;1;"Bajo";3;155;"Segunda mano/buen estado";1;1;0;1;1;1;"altorreal-el chorrico";NA;881;6.64905660377358
"Casa o chalet independiente en venta en avenida Promotores, 8";"La Quinta";399000;0;2;0;"Muchas_plantas";3;150;"Segunda mano/buen estado";1;1;0;0;0;1;"la quinta";NA;946;2.84511278195489
"Chalet pareado en venta en avenida Virgen de los Vientos";"Los Vientos-Casa Ros";340000;0;3;1;"Muchas_plantas";4;305;"Segunda mano/buen estado";0;0;0;1;0;0;"los vientos-casa ros";NA;1220;4.30588235294118
"Dúplex en venta en calle Andrés Segovia, 42";"Las Torres de Cotillas";132000;1;2;1;"Primero";4;130;"Segunda mano/buen estado";1;1;0;1;0;1;"las torres de cotillas";"Las Torres de Cotillas";884;8.03636363636364
"Chalet adosado en venta en Las Torres de Cotillas";"las torres de cotillas";179000;0;2;0;"Muchas_plantas";2;135;"Segunda mano/buen estado";0;1;0;1;0;0;"las torres de cotillas";"Las Torres de Cotillas";883;5.9195530726257
"Casa o chalet independiente en venta en calle Tercera Travesía, 19";"Las Torres de Cotillas";480000;0;3;1;"Muchas_plantas";5;400;"Segunda mano/buen estado";1;1;1;1;1;1;"las torres de cotillas";"Las Torres de Cotillas";1414;3.535
